day,ticker,state,dir,K,fireTsMs,exitTsMs,entrySpot,hr,g7_gate,final_sys,occ,entry_atfire,pnl_atfire,confirmed,entry_confirm,pnl_confirm,pnl_nextexp,mfe_pct,mae_pct,t_peak_min,entry_vol,entry_iv,prem_pct,breakeven_bps,f1,f5,f15,onesided15,accel,gex_regime,d_wall_bps,d_flip_bps,pin,vixd15,daytype,trend_day,nfp,fomc,opex,big_open,gex_state,flow_agree5,flow_onesided,flow_extreme,premium_band,flag_afternoon,flag_posgex_noroom,flag_flow_exhausted,flag_flow_against,flag_pin,flag_breakeven,nflags
2026-06-02,SPXW,BEAR_RUG,-1,7605,1780410900000,1780415400000,7602.64,10.583333333333334,False,False,SPXW260602P07605000,10.5,-600.0,False,,,,4.857142857142855,-64.76190476190476,5.0,224,0.1367,0.13810991971210002,13.81099197121,-26739408.0,-15646085.0,9618149.0,0.10226611849558939,-29250768.5,0.7963384163374895,3.4724779813332307,135.0057348499999,False,0.05000000000000071,flat,False,False,False,False,False,positive,True,False,False,other,False,True,False,False,False,False,1
2026-06-02,SPY,BEAR_RUG,-1,759,1780412700000,1780429500000,759.43,11.083333333333334,False,False,SPY260602P00759000,0.68,-52.0,False,,,,0.0,-80.88235294117648,0.0,2149,0.1338,0.08954083984040663,8.954083984040663,666314.0,-3667844.0,-3220820.0,0.20551974835472916,-3381649.0,0.288942793182332,18.829911907614264,71.50099416667699,True,0.030000000000001137,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,False,True,False,False,True,False,2
2026-06-02,SPY,BULL_REVERSE,1,760,1780413000000,1780413900000,760.09,11.166666666666666,True,True,SPY260602C00760000,0.89,7.9999999999999964,False,,,8.999999999999986,21.348314606741578,-8.988764044943816,12.0,3045,0.1335,0.11709139707139944,11.709139707139943,-2274209.0,837805.0,-3042547.0,0.15464202258983903,2314624.0,0.28967046230632437,11.972266442131433,80.12209080503665,True,-0.030000000000001137,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,False,True,False,False,True,False,2
2026-06-02,QQQ,BEAR_RUG,-1,745,1780413000000,1780419000000,744.82,11.166666666666666,False,False,QQQ260602P00745000,1.63,-87.99999999999999,False,,,,8.588957055214733,-53.987730061349694,2.0,689,0.2206,0.21884482156762705,21.884482156762708,10179.0,3060515.0,-205515.0,0.010517517758338594,4624186.5,0.015258778739353357,37.86149673746744,109.82519266399866,False,-0.030000000000001137,flat,False,False,False,False,False,neutral,False,False,False,good_0.5-2,False,False,False,True,False,False,1
2026-06-02,QQQ,BEAR_RUG,-1,746,1780416900000,1780419000000,745.91,12.25,False,False,QQQ260602P00746000,1.31,-10.000000000000009,False,,,,49.618320610687014,-7.633587786259549,21.0,749,0.1998,0.17562440508908583,17.562440508908583,-176571.0,-2258055.0,-12473569.0,0.6838821328934055,2724386.5,0.17473027392129836,52.41919266399389,54.8323524285776,False,-0.0600000000000005,flat,False,False,False,False,False,positive,True,True,False,good_0.5-2,False,False,True,False,False,False,1
2026-06-02,SPY,BEAR_CONTINUE,-1,759,1780420800000,1780424400000,759.36,13.333333333333334,False,False,SPY260602P00759000,0.42,13.000000000000005,True,0.45,6.0,,61.90476190476192,-2.380952380952383,19.0,2203,0.1207,0.05530973451327434,5.530973451327434,-229149.0,-4658957.0,-6143546.0,0.5965162585024898,-3724980.0,0.9727809330344914,17.909818794774726,162.7686472819218,True,0.07000000000000028,flat,False,False,False,False,False,positive,True,True,False,other,False,True,True,False,True,False,3
2026-06-02,QQQ,BULL_REVERSE,1,744,1780422000000,1780422600000,743.84,13.666666666666666,True,True,QQQ260602C00744000,0.89,28.999999999999993,True,1.09,8.999999999999986,31.000000000000007,41.57303370786517,0.0,8.0,1241,0.2007,0.11964938696493868,11.964938696493869,-1853168.0,-3638717.0,-3637870.0,0.32297939339141724,-3609552.5,-0.16212420780320433,29.03850290384986,2.1510002150995935,False,0.06999999999999673,flat,False,False,False,False,False,negative,False,False,False,good_0.5-2,True,False,False,True,False,False,2
2026-06-02,QQQ,BEAR_RUG,-1,744,1780422300000,1780425000000,744.36,13.75,False,False,QQQ260602P00744000,0.75,-32.0,False,,,,10.666666666666663,-42.66666666666667,18.0,891,0.1912,0.10075769788811864,10.075769788811865,-216711.0,580113.0,-4603551.0,0.4700442634150535,3079806.0,-0.009644328491828906,31.705088935461518,4.836369498629879,False,-0.0600000000000005,flat,False,False,False,False,False,neutral,False,True,False,good_0.5-2,True,False,True,True,False,False,3
2026-06-02,QQQ,BULL_REVERSE,1,745,1780427100000,1780429500000,745.15,15.083333333333334,True,True,QQQ260602C00745000,0.64,12.0,False,,,25.99999999999998,32.81249999999999,-15.624999999999996,18.0,1821,0.1937,0.08588874723210092,8.588874723210093,372858.0,698961.0,190582.0,0.020487414315067714,984956.5,0.19246852538463813,65.0875662618268,2.01301751325206,True,-0.08000000000000007,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,False,False,False,False,True,False,1
2026-06-03,SPXW,BEAR_RUG,-1,7600,1780493700000,1780494000000,7598.95,9.583333333333334,True,True,SPXW260603P07600000,15.0,33.999999999999986,True,15.1,24.00000000000002,60.99999999999994,10.0,-3.3333333333333335,2.0,576,0.1515,0.19739569282598257,19.739569282598257,6515775.0,-40536567.0,-40536567.0,0.6941243969069567,-40354761.0,0.8489822944891495,24.937655860348887,327.6110515268554,False,,down,True,False,False,False,False,positive,True,True,False,other,False,False,True,False,False,False,1
2026-06-03,QQQ,BULL_REVERSE,1,747,1780494000000,1780497600000,746.765,9.666666666666666,True,True,QQQ260603C00747000,2.2,-44.000000000000014,False,,,-12.00000000000001,0.0,-66.36363636363637,0.0,1884,0.3006,0.29460405884046525,29.460405884046523,477880.0,-249654.0,3546180.0,0.20830494201592295,-1535698.5,0.7322678111895192,16.538000575817208,1094.922766867756,True,,down,True,False,False,False,False,positive,False,False,False,bad_2-10,False,True,False,True,True,False,3
